CustomerId,customer,orders,revenue,revenue_share_pct,repeat_customer
6,Helena Holý,7,49.62,2.13,1
26,Richard Cunningham,7,47.62,2.05,1
57,Luis Rojas,7,46.62,2.0,1
45,Ladislav Kovács,7,45.62,1.96,1
46,Hugh O'Reilly,7,45.62,1.96,1
24,Frank Ralston,7,43.62,1.87,1
28,Julia Barnett,7,43.62,1.87,1
37,Fynn Zimmermann,7,43.62,1.87,1
7,Astrid Gruber,7,42.62,1.83,1
25,Victor Stevens,7,42.62,1.83,1
44,Terhi Hämäläinen,7,41.62,1.79,1
5,František Wichterlová,7,40.62,1.74,1
43,Isabelle Mercier,7,40.62,1.74,1
48,Johannes Van der Berg,7,40.62,1.74,1
1,Luís Gonçalves,7,39.62,1.7,1
3,François Tremblay,7,39.62,1.7,1
4,Bjørn Hansen,7,39.62,1.7,1
17,Jack Smith,7,39.62,1.7,1
20,Dan Miller,7,39.62,1.7,1
22,Heather Leacock,7,39.62,1.7,1
34,João Fernandes,7,39.62,1.7,1
42,Wyatt Girard,7,39.62,1.7,1
15,Jennifer Peterson,7,38.62,1.66,1
19,Tim Goyer,7,38.62,1.66,1
39,Camille Bernard,7,38.62,1.66,1
40,Dominique Lefebvre,7,38.62,1.66,1
51,Joakim Johansson,7,38.62,1.66,1
58,Manoj Pareek,7,38.62,1.66,1
2,Leonie Köhler,7,37.62,1.62,1
8,Daan Peeters,7,37.62,1.62,1
9,Kara Nielsen,7,37.62,1.62,1
10,Eduardo Martins,7,37.62,1.62,1
11,Alexandre Rocha,7,37.62,1.62,1
12,Roberto Almeida,7,37.62,1.62,1
13,Fernanda Ramos,7,37.62,1.62,1
14,Mark Philips,7,37.62,1.62,1
16,Frank Harris,7,37.62,1.62,1
18,Michelle Brooks,7,37.62,1.62,1
21,Kathy Chase,7,37.62,1.62,1
23,John Gordon,7,37.62,1.62,1
27,Patrick Gray,7,37.62,1.62,1
29,Robert Brown,7,37.62,1.62,1
30,Edward Francis,7,37.62,1.62,1
31,Martha Silk,7,37.62,1.62,1
32,Aaron Mitchell,7,37.62,1.62,1
33,Ellie Sullivan,7,37.62,1.62,1
35,Madalena Sampaio,7,37.62,1.62,1
36,Hannah Schneider,7,37.62,1.62,1
38,Niklas Schröder,7,37.62,1.62,1
41,Marc Dubois,7,37.62,1.62,1
47,Lucas Mancini,7,37.62,1.62,1
49,Stanisław Wójcik,7,37.62,1.62,1
50,Enrique Muñoz,7,37.62,1.62,1
52,Emma Jones,7,37.62,1.62,1
53,Phil Hughes,7,37.62,1.62,1
54,Steve Murray,7,37.62,1.62,1
55,Mark Taylor,7,37.62,1.62,1
56,Diego Gutiérrez,7,37.62,1.62,1
59,Puja Srivastava,6,36.64,1.57,1
